,idno,author-name,book-title,pub-year,genre,subgenre,detective,horror,historical,adventure,narration,pub-decade
acd001,acd001,Doyle,StudyScarlet,1887,novel,detective,yes,no,no,no,homodiegetic,1880s
acd003,acd003,Doyle,SignFour,1890,novel,detective,yes,no,no,no,homodiegetic,1890s
acd011,acd011,Doyle,ValleyFear,1915,novel,detective,yes,no,no,no,homodiegetic,1910s
acd002,acd002,Doyle,HoundBaskervilles,1902,novel,detective,yes,no,no,no,homodiegetic,1900s
acd004,acd004,Doyle,WhiteCompany,1891,novel,historical,no,no,yes,no,heterodiegetic,1890s
acd005,acd005,Doyle,Refugees,1893,novel,historical,no,no,yes,no,heterodiegetic,1890s
acd008,acd008,Doyle,RafflesHaw,1891,novel,horror,no,yes,no,no,homodiegetic,1890s
acd009,acd009,Doyle,Parasite,1894,novella,horror,no,yes,no,no,homodiegetic,1890s
acd007,acd007,Doyle,MysteryCloomber,1889,novel,other,no,no,no,no,homodiegetic,1880s
acd006,acd006,Doyle,FirmGirdlestone,1890,novel,other,no,no,no,no,heterodiegetic,1890s
acd010,acd010,Doyle,LostWorld,1912,novel,adventure,no,no,no,yes,homodiegetic,1910s
acd012,acd012,Doyle,PoisonBelt,1913,novella,adventure,no,no,no,yes,homodiegetic,1910s
