idno,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
acd001,0.13326874363632765,0.0019857938170405,0.12360300099775193,0.01378191324750808,0.0006935762614289735,0.29586355431909656,0.08139784743000679,0.1580169027357313,0.0018335540835862844,0.003047022981212747,0.10659739059779247,0.007781269280046069,0.01892900144519689,0.006894422254446879,0.001265074664052185,0.0003383451495522568,0.020365070988758886,0.0004191880773125077,0.017468126813867543,0.006450201219283483
acd002,0.15161312345162828,0.0027475740302368426,0.06385162620783888,0.005746804994487963,0.001131981402491213,0.3340844439349283,0.005878801973267113,0.11844304940322785,0.0007785671854087204,0.0038538459559278085,0.02140447208553111,0.007335829517736822,0.014646187093538605,0.009043794844076443,0.0012670066225533843,0.002540044040049015,0.008478049249560748,0.24020306729885021,0.0044077463669348,0.00254398434172594
acd003,0.179175288414389,0.0019840181881671643,0.12609085671753334,0.0789924881301461,0.017376828651250526,0.27324726638032076,0.0049961299769257644,0.11797015923600009,0.047102166005924,0.005060108783707313,0.06288149469059016,0.010761120917922355,0.02333075808694238,0.009612443727129102,0.0038919709531202835,0.004585821673825206,0.014209384538102348,0.006669921858476092,0.010318186763033744,0.0017435863064942966
acd004,0.19096614148657778,0.007485523290299741,0.02033901550506207,0.008128571404584154,0.004784839453367061,0.015388911842814195,0.031151566097788037,0.13917331900830285,0.024141774381769947,0.1513264162136892,0.0027315493132641397,0.03704354929130171,0.003285054613736884,0.0020309759643044765,0.0015038939136268227,0.3074704275615536,0.033454985418366646,0.002303781790188711,0.014374786965060034,0.0029149164843420036
acd005,0.20853528763285772,0.1730386956235667,0.027571257914196307,0.0026244962120332673,0.10197663566027926,0.04148285991360722,0.006288610996919763,0.20490040971753717,0.044959163508927036,0.01082210188077413,0.0046453151548778064,0.0057990219202586875,0.0027410485898865834,0.004567778904699049,0.0006800422080467911,0.006367661739724105,0.07451896409362722,0.002018554026558875,0.07545210451776235,0.00100998978386004
acd006,0.1287122140511587,0.0018597255225246863,0.11519480393276328,0.00742206891251486,0.0023619263341561874,0.16911428653110633,0.008639225832469566,0.19363623256203497,0.060216366597737894,0.00613386362920599,0.013544730528911286,0.004819473539387371,0.2099852748011521,0.007203351630371352,0.006294440871699343,0.003601864531144788,0.006526493367148332,0.0019097248686554655,0.013442925405630971,0.03938100655022658
acd007,0.1261182245261755,0.0014243594213198658,0.06968145727527687,0.008202936179445935,0.0030329064719414774,0.23170602792642664,0.04330212693191254,0.1735496471063437,0.07636149850165631,0.004052241754481161,0.007881905407826673,0.03766256436569745,0.01678351372818416,0.017308592817613988,0.003105674740487324,0.003220800571377899,0.01332260002396666,0.13841309773530447,0.017167394704320278,0.007702429810241213
acd008,0.09048800491662394,0.004846965434499839,0.08563669735603983,0.3072456788945557,0.001345908371430897,0.18964314024295822,0.004685063915951461,0.22337760129604028,0.0014886124238560272,0.0030585160633722795,0.0020636785953554414,0.007834381646358735,0.030904698793555778,0.005681045127932667,0.009503451889955574,0.0030873284000592486,0.009849369857790152,0.007241674476809832,0.00947340228630298,0.00254478001055117
acd009,0.12057296337310804,0.0006587120868529826,0.06357080023207916,0.014226691338677027,0.0013443715633141727,0.2868177617481069,0.0011730809646010316,0.30509796316975835,0.00037797787271805927,0.0004842330106619235,0.02115889333893549,0.009274137890941852,0.003126535671518932,0.003373303703477014,0.14053880084788528,0.002269065043255899,0.003073916988341309,0.006552122356830541,0.0008600473185262455,0.015448621480409814
acd010,0.2091941397617436,0.0017513237944024275,0.015366735488270892,0.003570460393098696,0.002965710892870311,0.23171115279079055,0.006087593810201773,0.06767837947737591,0.003811913746228258,0.0017638841838911448,0.010680765628370644,0.004998582640055389,0.013037406817817312,0.25588412737838506,0.026588545751660565,0.0032389712847464692,0.08977846589911594,0.005118785753754676,0.0012617573267463633,0.04551129718047412
acd011,0.1348451702907935,0.008344619244333069,0.03513334099670155,0.008253282955273578,0.0002868078788637469,0.21990841431351293,0.0070690336539400095,0.16027134212236685,0.0011720207587384113,0.0023391405431794168,0.36005652462613047,0.005288209107066676,0.023358944490827416,0.0018538636486691148,0.0009020304730394606,0.002181844920512499,0.009342393615236628,0.007499285415855734,0.0035254706191835497,0.008368260325775506
acd012,0.16446972756089495,0.0016077855959876512,0.06287662839688415,0.006622813239260924,0.0005396420786455881,0.24836684673314366,0.00734694735889517,0.08194845438131382,0.004700322392312124,0.00147317659265914,0.0063646227838395466,0.0019764269599886718,0.006331673625464673,0.009970976559429441,0.3635549423719764,0.0011888535560509446,0.011981408700408251,0.004332066926722439,0.0033129949797665015,0.011033689206355954
